,subtype,correlation,p.value,IM,BL1,MSL,M,BL2,LAR
STG201.X0,BL1,0.267126360781165,1e-04,-0.0336858080068874,0.267126360781165,-0.106627141089817,-0.00776795100593751,-0.233205084424208,0.102895141270346
STG201.X2,BL1,0.389060067222393,0,-0.0422042176040738,0.389060067222393,-0.189546024587995,0.0734978607111321,-0.240251185733257,0.041238445241427
STG201.X3,BL1,0.371653875520501,0,-0.0563547585755873,0.371653875520501,-0.152840307099443,0.0445088729638345,-0.272695124264845,0.0895991542697901
STG201.X3R,BL1,0.376361174738864,0,0.0435248292219873,0.376361174738864,-0.188323729738731,-0.0400476842878353,-0.310056535761715,0.0573218601295746
STG201.X6,BL1,0.361608457112271,0,-0.070949402615321,0.361608457112271,-0.205136827614223,0.111332403612727,-0.278937583001328,-0.0302048568383544
STG316.X1,BL2,0.239916524378676,0.0334,0.461055059649318,-0.440543289174361,0.476535610863649,-0.430743133541419,0.239916524378676,-0.0262756300611275
STG316.X1R,BL1,0.277809368629025,8e-04,0.0971502679557821,0.277809368629025,-0.18399606642314,-0.0463182840043624,-0.215176626826029,-0.0524767606803773
STG316.X1R1,BL1,0.281288875245,0.001,0.0700155677860023,0.281288875245,-0.198201913613999,-0.0395352928868195,-0.0729220261809903,-0.0538317889515268
STG316.X1R2,BL1,0.289142560275816,6e-04,0.0554663633326635,0.289142560275816,-0.19288830187367,0.0270133233448249,-0.168166192373364,-0.084951054168992
STG316.X3C7,BL2,0.249900967558338,0.0026,0.0379604249838625,0.0257949795735235,-0.06600482403533,-0.0535778356373015,0.249900967558338,0.0889262125067577
STG316.X4,BL1,0.104444391967947,0.4126,-0.0236815617558829,0.104444391967947,-0.13876382243452,0.0526140042874381,0.0760371845949535,0.052434362316803
VHIO094.T,UNS,NA,NA,0.712695544883586,-0.0132765012869861,0.0450523596610503,-0.643402117274294,-0.121941187630431,-0.168172570635645
VHIO094.X2,BL1,0.397111326264749,0,0.334841070318922,0.397111326264749,-0.314347188726533,-0.336708820210645,-0.382650730411687,-0.249539177590024
VHIO102.T,BL2,0.0499169038133182,0.142,0.124306148051682,-0.269872718256311,0.407500662102739,-0.00126951359280672,0.0499169038133182,-0.12142465265698
VHIO102.X7,M,0.330124262095528,0,-0.161090006527415,-0.136242158043466,0.156101365199374,0.330124262095528,-0.0360387023335231,-0.0577805522296164
VHIO102.X7R,M,0.377171821462097,0,-0.177847245293964,-0.0835705008619265,0.0907343671931104,0.377171821462097,-0.0731785239992411,-0.0578991316100943
VHIO102.X9,M,0.430649272199741,0,-0.253434808592631,-0.168099432466684,0.127594801840887,0.430649272199741,0.07533598937583,-0.077701982620412
VHIO124.X0,BL1,0.141928668697507,0,-0.0523227382013629,0.141928668697507,-0.120044955967532,0.0774255781308526,0.10550635553026,-0.138813763317484
VHIO169.X5,BL1,0.499688447036783,0,0.0225053464455086,0.499688447036783,-0.257757521878447,0.0563110116977131,-0.14265452475811,-0.217196774376334
VHIO169.XC7,BL2,0.19347296528173,0.055,0.0246359821766599,0.104714855833943,-0.0957964244155651,-0.0288478549519014,0.19347296528173,-0.0374337967218772
VHIO179.X10C7,LAR,0.141304648283374,0.0207,0.0295915986148977,0.096234916286868,-0.0782500691394136,-0.0936825280325563,0.110597609561753,0.141304648283374
VHIO179.X7,BL1,0.39279350760778,0,-0.0627830552594538,0.39279350760778,-0.201463944188313,0.125839725527627,-0.119232024283817,-0.102831241419362
VHIO179.X7C,BL1,0.194850166481687,0.0035,-0.0224601499960207,0.194850166481687,-0.130078431113406,-0.0241468524952463,0.0602056535761715,0.0355181143324021
VHIO179.X7R,BL1,0.414678253477224,0,-0.0104376512953173,0.414678253477224,-0.204222994609024,0.0896818343933466,-0.111580345285525,-0.119568987380649
VHIO179.X9,BL1,0.348522445509717,0,0.109083724518104,0.348522445509717,-0.186902979816165,-0.0716624528052224,-0.0835940049326504,-0.22314204900975
