x,sample,Patient,id,CellType,Epi,seurat_clusters,subtype,IM,BL1,MSL,M,BL2,LAR
PT126_P7_F11_S167,1317,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F12_S168,1318,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G01_S169,1319,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G02_S170,1320,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G03_S171,1321,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G04_S172,1322,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G05_S173,1323,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G06_S174,1324,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G07_S175,1325,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G08_S176,1326,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G09_S177,1327,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G10_S178,1328,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G11_S179,1329,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_G12_S180,1330,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H01_S181,1331,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H02_S182,1332,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H03_S183,1333,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H04_S184,1334,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H05_S185,1335,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H06_S186,1336,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H07_S187,1337,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H08_S188,1338,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H09_S189,1339,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H10_S190,1340,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H11_S191,1341,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_H12_S192,1342,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT039_P121_A01_S289,1343,PT039,P121,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P121_A02_S290,1344,PT039,P121,Epithelial,Epithelial,1,BL2,-0.03180495,-0.052001647,0.107520576,0.000176004,0.063098769,-0.014701728
PT039_P121_A03_S291,1345,PT039,P121,Epithelial,Epithelial,2,BL1,-0.054851582,0.145718231,-0.120269133,0.089519511,-0.117790082,-0.065344459
PT039_P121_A04_S292,1346,PT039,P121,Epithelial,Epithelial,2,M,-0.118667505,0.179467194,-0.159303568,0.199624409,-0.293926576,-0.142572267
PT039_P121_A05_S293,1347,PT039,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT039_P121_A06_S294,1348,PT039,P121,Epithelial,Epithelial,2,BL1,-0.114040117,0.388473142,-0.273771141,0.173023789,-0.246042202,-0.20609647
PT039_P121_A07_S295,1349,PT039,P121,Epithelial,Epithelial,2,BL1,-0.084609984,0.309206994,-0.217536323,0.226098421,-0.156577472,-0.181273137
PT039_P121_A08_S296,1350,PT039,P121,Epithelial,Epithelial,1,BL1,-0.065158407,0.29659988,-0.241082594,0.151104336,-0.027403238,-0.18802073
PT039_P121_A09_S297,1351,PT039,P121,Epithelial,Epithelial,4,BL1,0.105229933,0.049067073,-0.013102503,-0.057614412,0.018738306,-0.031777535
PT039_P121_A10_S298,1352,PT039,P121,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P121_A11_S299,1353,PT039,P121,Epithelial,Epithelial,2,BL1,-0.034919083,0.295491357,-0.216818029,0.141246215,-0.189381392,-0.193085332
PT039_P121_A12_S300,1354,PT039,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT039_P121_B01_S301,1355,PT039,P121,Epithelial,Epithelial,2,BL1,-0.062026156,0.261452796,-0.243041253,0.105040444,-0.233435199,-0.15154853
PT039_P121_B02_S302,1356,PT039,P121,Epithelial,Epithelial,1,M,-0.034436156,0.089198762,-0.133829382,0.123434463,-0.116939174,-0.074067994
PT039_P121_B03_S303,1357,PT039,P121,Epithelial,Epithelial,2,BL1,-0.112307699,0.214252807,-0.120271834,0.203671072,-0.059244554,-0.120548175
PT039_P121_B04_S304,1358,PT039,P121,Epithelial,Epithelial,1,BL2,-0.131011588,0.11166857,0.010908595,0.184323216,0.318003862,-0.088560453
PT039_P121_B05_S305,1359,PT039,P121,Epithelial,Epithelial,2,BL1,-0.15485433,0.273749086,-0.16295405,0.264824195,-0.297374691,-0.150979911
PT039_P121_B06_S306,1360,PT039,P121,Epithelial,Epithelial,1,BL1,0.049761872,0.186526515,-0.052864108,-0.039080864,-0.013784184,-0.047833491
PT039_P121_B07_S307,1361,PT039,P121,Epithelial,Epithelial,2,BL1,-0.166772641,0.283795072,-0.115923257,0.279800926,-0.157567425,-0.196300654
PT039_P121_B08_S308,1362,PT039,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT039_P121_B09_S309,1363,PT039,P121,Epithelial,Epithelial,2,M,-0.072599523,0.036354873,-0.093707742,0.147653196,-0.154549976,-0.070256467
PT039_P121_B10_S310,1364,PT039,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT039_P121_B11_S311,1365,PT039,P121,Epithelial,Epithelial,2,M,-0.097462897,0.079715118,-0.088185403,0.150093056,-0.000864011,-0.109583633
PT039_P121_B12_S312,1366,PT039,P121,Epithelial,Epithelial,1,BL1,-0.038159136,0.1626435,-0.027361157,0.117539699,-0.005036629,-0.182271777
PT039_P121_C01_S313,1367,PT039,P121,Epithelial,Epithelial,1,BL1,-0.001436672,0.286485878,-0.224241473,0.03657824,-0.028128576,-0.138161359
PT039_P121_C02_S314,1368,PT039,P121,Epithelial,Epithelial,1,M,-0.039801641,0.041101027,-0.089947286,0.082829505,-0.106266906,-0.042690751
PT039_P121_C03_S315,1369,PT039,P121,Epithelial,Epithelial,1,BL1,-0.021034129,0.257347484,-0.165496622,0.034881263,-0.049258826,-0.071317105
PT039_P121_C04_S316,1370,PT039,P121,Epithelial,Epithelial,2,M,-0.18014981,0.151183595,-0.117609402,0.203319022,-0.122855744,-0.059744682
PT039_P121_C05_S317,1371,PT039,P121,Epithelial,Epithelial,2,M,-0.182384646,0.083168706,-0.013180442,0.239070691,-0.095659844,-0.136212046
PT039_P121_C06_S318,1372,PT039,P121,Epithelial,Epithelial,1,BL1,0.053127835,0.14724063,-0.059453905,-0.033111451,-0.017537109,-0.053494228
PT039_P121_C07_S319,1373,PT039,P121,Epithelial,Epithelial,10,BL1,0.018287603,0.111426061,-0.131741822,0.068656523,-0.152901471,-0.12651563
PT039_P121_C08_S320,1374,PT039,P121,Epithelial,Epithelial,2,BL1,-0.133809215,0.260546071,-0.134836636,0.156254606,-0.131444873,-0.125460588
PT039_P121_C09_S321,1375,PT039,P121,Epithelial,Epithelial,1,BL1,-0.011318687,0.219654417,-0.169327721,0.074551795,-0.086893434,-0.091930404
PT039_P121_C10_S322,1376,PT039,P121,Epithelial,Epithelial,7,LAR,0.081907261,-0.028183792,-0.03321727,-0.10496557,0.002769173,0.076527636
PT039_P121_C11_S323,1377,PT039,P121,Epithelial,Epithelial,1,BL1,0.03228859,0.042251709,-0.011311151,0.023474956,-0.09512857,-0.023624301
PT039_P121_C12_S324,1378,PT039,P121,Epithelial,Epithelial,1,BL2,0.031107001,-0.035903503,0.096265249,0.008362091,0.034920996,-0.036966321
PT039_P121_D01_S325,1379,PT039,P121,Epithelial,Epithelial,1,BL1,-0.054901591,0.221244024,-0.124706565,0.066498214,-0.088810489,-0.062014459
PT039_P121_D02_S326,1380,PT039,P121,Epithelial,Epithelial,1,BL1,-0.163598687,0.34136639,-0.199801347,0.227147098,-0.112633908,-0.198808904
PT039_P121_D03_S327,1381,PT039,P121,Epithelial,Epithelial,1,M,-0.161918683,0.048110076,0.052975479,0.206302469,0.141371595,-0.121439007
PT039_P121_D04_S328,1382,PT039,P121,Epithelial,Epithelial,2,BL1,-0.044181092,0.085467537,-0.155062269,0.079162531,-0.212119989,-0.022204353
PT039_P121_D05_S329,1383,PT039,P121,Epithelial,Epithelial,1,BL1,0.012489373,0.224793058,-0.172008842,0.019371867,-0.003805933,-0.099772446
PT039_P121_D06_S330,1384,PT039,P121,Epithelial,Epithelial,4,BL1,0.123409154,0.021718416,-0.014395782,-0.152124182,-0.052772375,0.017677728
PT039_P121_D07_S331,1385,PT039,P121,Epithelial,Epithelial,1,BL1,0.089497085,0.075966817,-0.04563539,-0.06602029,-0.000950844,-0.01448431
PT039_P121_D08_S332,1386,PT039,P121,Epithelial,Epithelial,2,BL1,-0.204656703,0.265283204,-0.161654348,0.245621438,-0.048099761,-0.108166712
PT039_P121_D09_S333,1387,PT039,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT039_P121_D10_S334,1388,PT039,P121,Epithelial,Epithelial,4,BL1,0.084596565,0.064402472,-0.042432547,-0.059798991,-0.086616282,-0.043523795
PT039_P121_D11_S335,1389,PT039,P121,Epithelial,Epithelial,2,BL1,-0.052279945,0.237191557,-0.198821299,0.145111303,-0.079953982,-0.145485424
PT039_P121_D12_S336,1390,PT039,P121,Epithelial,Epithelial,1,BL1,-0.085009285,0.249869591,-0.191095459,0.135946367,-0.143441481,-0.097102202
PT039_P121_E01_S337,1391,PT039,P121,Epithelial,Epithelial,2,M,-0.137228116,0.161964138,-0.164811375,0.215514133,-0.140394448,-0.181358666
PT039_P121_E02_S338,1392,PT039,P121,Epithelial,Epithelial,2,M,-0.081749137,0.096341898,-0.101691223,0.106293679,-0.105961221,-0.065423306
