x,sample,Patient,id,CellType,Epi,seurat_clusters,subtype,IM,BL1,MSL,M,BL2,LAR
PT089_P1_A01,1,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A02,2,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A03,3,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A04,4,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A05,5,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A06,6,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A07,7,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A08,8,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A09,9,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A10,10,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A11,11,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A12,12,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B01,13,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B02,14,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B03,15,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B04,16,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B05,17,PT089,P1,Epithelial,Epithelial,0,BL2,0.09893041,0.013962777,-0.04450625,-0.170410385,0.132554439,-0.014991842
PT089_P1_B06,18,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B07,19,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B08,20,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B09,21,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B10,22,PT089,P1,Epithelial,Epithelial,1,BL2,-0.003490545,0.005522917,0.012514951,-0.007810017,0.056285443,0.028436162
PT089_P1_B11,23,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B12,24,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C01,25,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C02,26,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C03,27,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C04,28,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C05,29,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C06,30,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C07,31,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C08,32,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C09,33,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C10,34,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C11,35,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C12,36,PT089,P1,Epithelial,Epithelial,1,BL2,0.157048689,0.046434548,0.051374407,-0.201709359,0.068818083,-0.049998409
PT089_P1_D01,37,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D02,38,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D03,39,PT089,P1,Epithelial,Epithelial,1,BL1,0.149204539,0.07221073,0.026618015,-0.142771254,0.021439994,0.02259034
PT089_P1_D04,40,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D05,41,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D06,42,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D07,43,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D08,44,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D09,45,PT089,P1,Epithelial,Epithelial,10,BL1,0.079880291,0.142534079,-0.11831435,-0.098614004,-0.06194691,-0.14694025
PT089_P3_A01_S289,46,PT089,P3,Epithelial,Epithelial,5,BL1,0.126242273,0.031214808,-0.001965281,-0.118194817,-0.003881451,-0.011220452
PT089_P3_A02_S290,47,PT089,P3,Epithelial,Epithelial,4,BL1,0.090728523,0.048626194,-0.044122395,-0.103242584,-0.069166932,0.041252665
PT089_P3_A03_S291,48,PT089,P3,Epithelial,Epithelial,5,BL1,0.03487263,0.112436564,-0.032141977,-0.068667417,-0.1099838,0.023466797
PT089_P3_A04_S292,49,PT089,P3,Epithelial,Epithelial,5,BL1,0.0771319,0.085728805,0.006743287,-0.082523059,-0.036829747,0.002366201
PT089_P3_A05_S293,50,PT089,P3,Epithelial,Epithelial,4,BL1,0.1067715,0.053526913,-0.080041044,-0.108543598,-0.071327878,-0.009588047
PT089_P3_A06_S294,51,PT089,P3,Epithelial,Epithelial,1,BL2,0.091701786,-0.023574902,-0.056848456,-0.116269615,0.063153659,0.012283408
PT089_P3_A07_S295,52,PT089,P3,Epithelial,Epithelial,5,BL1,0.046580895,0.042865861,-0.023284125,-0.071167847,-0.049645972,0.005442128
PT089_P3_A08_S296,53,PT089,P3,Epithelial,Epithelial,5,BL2,-0.002574729,0.014567055,-0.071349313,0.019720887,0.031884629,-0.005374098
PT089_P3_A09_S297,54,PT089,P3,Epithelial,Epithelial,5,BL1,0.095112902,0.080131863,-0.044995197,-0.100860527,-0.056551292,0.01732616
PT089_P3_A10_S298,55,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_A11_S299,56,PT089,P3,Epithelial,Epithelial,5,BL1,0.031615453,0.000231631,-0.009439873,-0.070699552,-0.071551791,-0.000692183
PT089_P3_A12_S300,57,PT089,P3,Epithelial,Epithelial,4,M,0.030288448,-0.00858979,0.0524011,0.019276121,-0.120079654,-0.020524953
PT089_P3_B01_S301,58,PT089,P3,Epithelial,Epithelial,5,BL1,0.123201294,0.023685744,-0.024969118,-0.114579123,-0.062292661,0.00171608
PT089_P3_B02_S302,59,PT089,P3,Epithelial,Epithelial,5,BL2,0.09246403,0.014713819,-0.004158638,-0.082666707,0.031978944,0.00594293
PT089_P3_B03_S303,60,PT089,P3,Epithelial,Epithelial,4,BL1,0.078991399,0.081903541,-0.021967769,-0.070195097,0.030035273,0.007811395
PT089_P3_B04_S304,61,PT089,P3,Epithelial,Epithelial,5,LAR,0.018000766,-0.005667663,-0.036715624,-0.056236618,-0.007693188,0.050923323
PT089_P3_B05_S305,62,PT089,P3,Epithelial,Epithelial,5,BL1,0.091249239,0.080452449,-0.055244783,-0.091246128,-0.006940433,-0.022895513
PT089_P3_B06_S306,63,PT089,P3,Epithelial,Epithelial,5,BL1,0.081395477,0.026828868,-0.079839129,-0.09298064,0.01660825,0.00625309
PT089_P3_B07_S307,64,PT089,P3,Epithelial,Epithelial,5,LAR,0.042211853,-0.022635865,0.024195473,-0.066033095,-0.092940626,0.030975361
PT089_P3_B08_S308,65,PT089,P3,Epithelial,Epithelial,5,BL1,-0.018007665,0.061353242,0.015962481,-0.010403419,-0.032573458,0.026868522
PT089_P3_B09_S309,66,PT089,P3,Epithelial,Epithelial,4,BL1,0.050673542,0.074552186,-0.013074381,-0.054243448,-0.156963426,0.053062308
PT089_P3_B10_S310,67,PT089,P3,Epithelial,Epithelial,5,LAR,0.037316535,0.027167347,-0.0692746,-0.080270204,-0.045658445,0.056231951
PT089_P3_B11_S311,68,PT089,P3,Epithelial,Epithelial,4,LAR,0.076817279,-0.036167473,-0.035066329,-0.055897907,-0.050557548,0.046436469
PT089_P3_B12_S312,69,PT089,P3,Epithelial,Epithelial,5,BL1,0.124678557,0.01416502,-0.048032473,-0.127663591,-0.085263398,-0.010989796
PT089_P3_C01_S313,70,PT089,P3,Epithelial,Epithelial,5,BL1,0.061126875,0.099318357,-0.054916437,-0.06286397,-0.06111766,-0.030841751
PT089_P3_C02_S314,71,PT089,P3,Epithelial,Epithelial,5,UNS,0.061456947,-0.007104574,0.026507547,-0.052846964,-0.063052973,-0.009435287
PT089_P3_C03_S315,72,PT089,P3,Epithelial,Epithelial,4,BL1,0.087040631,0.037195144,-0.03854362,-0.089438133,-0.052700931,0.019103193
PT089_P3_C04_S316,73,PT089,P3,Epithelial,Epithelial,5,LAR,0.052926382,-0.051677266,-0.036437668,-0.059633471,-0.014620324,0.032999315
PT089_P3_C05_S317,74,PT089,P3,Epithelial,Epithelial,5,BL1,0.058027254,0.1049435,-0.05805401,-0.03896384,-0.159625532,-0.034953177
PT089_P3_C06_S318,75,PT089,P3,Epithelial,Epithelial,4,BL2,0.018110843,-0.082665368,0.030976681,-0.061364913,0.094797847,0.020307148
PT089_P3_C07_S319,76,PT089,P3,Epithelial,Epithelial,4,BL1,0.106749522,0.028427032,-0.01259048,-0.112056231,-0.017837075,0.013357999
PT089_P3_C08_S320,77,PT089,P3,Epithelial,Epithelial,5,BL1,0.092478818,0.063520022,-0.05994572,-0.089704705,0.008752535,-0.004541684
PT089_P3_C09_S321,78,PT089,P3,Epithelial,Epithelial,5,LAR,0.106339657,-0.016306158,-0.011605807,-0.117206394,-0.130013372,0.042664405
PT089_P3_C10_S322,79,PT089,P3,Epithelial,Epithelial,5,BL1,0.04266128,0.068320312,-0.005507752,-0.037324234,-0.116746289,0.018683326
PT089_P3_C11_S323,80,PT089,P3,Epithelial,Epithelial,5,LAR,0.064473586,0.035054517,-0.084969068,-0.052769967,-0.100767243,0.047900798
PT089_P3_C12_S324,81,PT089,P3,Epithelial,Epithelial,5,LAR,0.052411231,0.002450546,-0.037207726,-0.077562054,-0.03497269,0.042526609
PT089_P3_D01_S325,82,PT089,P3,Epithelial,Epithelial,4,BL1,0.09449945,0.044618854,-0.006778461,-0.045733206,-0.028610374,-0.025843848
PT089_P3_D02_S326,83,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D03_S327,84,PT089,P3,Epithelial,Epithelial,5,BL2,0.079836151,-0.104445124,0.146039196,0.006771866,0.032356723,-0.010697034
PT089_P3_D04_S328,85,PT089,P3,Epithelial,Epithelial,5,BL1,0.051177921,0.04872291,-0.043113461,-0.05142565,-0.026545839,0.005180599
PT089_P3_D05_S329,86,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D06_S330,87,PT089,P3,Epithelial,Epithelial,4,BL1,0.050699575,0.041827219,-0.021235183,-0.000840027,-0.055888494,0.01549473
PT089_P3_D07_S331,88,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D08_S332,89,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D09_S333,90,PT089,P3,Epithelial,Epithelial,4,BL2,0.017867203,-0.003045413,-0.038031474,-0.030277448,0.057647004,-0.011529386
PT089_P3_D10_S334,91,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D11_S335,92,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D12_S336,93,PT089,P3,Epithelial,Epithelial,1,M,-0.034829162,0.044761151,-0.046670414,0.097406888,-0.04305918,0.000172931
PT089_P3_E01_S337,94,PT089,P3,Epithelial,Epithelial,5,BL1,0.080057167,0.099783919,-0.047682909,-0.088192813,0.024029889,-0.005316331
PT089_P3_E02_S338,95,PT089,P3,Epithelial,Epithelial,4,LAR,0.027229692,0.024811952,0.046295912,-0.057448235,0.021136954,0.061079496
PT089_P3_E03_S339,96,PT089,P3,Epithelial,Epithelial,4,BL1,0.019022162,0.095541544,-0.02691536,0.046443407,-0.092838208,-0.057195642
PT089_P3_E04_S340,97,PT089,P3,Epithelial,Epithelial,5,BL1,0.08740831,0.086121655,-0.12238887,-0.119593791,-0.143129529,-0.01929006
PT089_P3_E05_S341,98,PT089,P3,Epithelial,Epithelial,5,BL1,0.077546557,0.113141112,-0.10018174,-0.082573003,-0.108181098,-0.04794425
PT089_P3_E06_S342,99,PT089,P3,Epithelial,Epithelial,4,BL2,0.137615963,0.000274897,0.026019275,-0.084065592,0.113645858,-0.044260436
PT089_P3_E07_S343,100,PT089,P3,Epithelial,Epithelial,1,BL1,0.028653255,0.0752894,-0.096321627,-0.06842482,-0.049816216,0.01083306
PT089_P3_E08_S344,101,PT089,P3,Epithelial,Epithelial,0,BL1,0.118665654,0.058280223,-0.1385778,-0.162640666,-0.015824731,-0.060809943
PT089_P3_E09_S345,102,PT089,P3,Epithelial,Epithelial,5,BL1,0.054184069,0.115151307,-0.086007614,-0.028637132,-0.041344382,-0.048743969
PT089_P3_E10_S346,103,PT089,P3,Epithelial,Epithelial,4,BL1,0.073484851,0.033145857,0.011731136,-0.103477327,-0.051369206,0.003382464
PT089_P3_E11_S347,104,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_E12_S348,105,PT089,P3,Epithelial,Epithelial,4,BL1,0.064335778,0.091006815,-0.001271796,-0.068710745,-0.171853725,-0.002288562
PT089_P3_F01_S349,106,PT089,P3,Epithelial,Epithelial,5,BL1,0.083274056,0.024199016,0.014715589,-0.100514677,0,0.01789314
PT089_P3_F02_S350,107,PT089,P3,Epithelial,Epithelial,5,BL2,0.137849826,0.060397808,-0.027089152,-0.165183943,0.064217243,0.022108922
PT089_P3_F03_S351,108,PT089,P3,Epithelial,Epithelial,5,BL1,0.091396228,0.006407562,0.001897516,-0.062164585,-0.090129972,-0.011388355
PT089_P3_F04_S352,109,PT089,P3,Epithelial,Epithelial,4,BL1,0.017428207,0.074962856,-0.006431327,-0.042495274,-0.073159625,-0.036760623
PT089_P3_F05_S353,110,PT089,P3,Epithelial,Epithelial,4,BL1,0.019530555,0.050893835,-0.04613477,-0.078310262,-0.026557467,-0.038633627
PT089_P3_F06_S354,111,PT089,P3,Epithelial,Epithelial,4,LAR,-0.010451085,0.023247272,0.021438212,-0.025420987,-0.037503051,0.040459405
PT089_P3_F07_S355,112,PT089,P3,Epithelial,Epithelial,5,BL1,0.042454343,0.033521655,-0.003502299,-0.056010727,-0.1050647,-0.014345639
PT089_P3_F08_S356,113,PT089,P3,Epithelial,Epithelial,1,BL2,-0.010057157,-0.083371528,0.028686103,0.046072628,0.052203595,0.002255927
PT089_P3_F09_S357,114,PT089,P3,Epithelial,Epithelial,4,BL1,0.079065646,0.073398496,0.003633476,-0.053607326,-0.05092632,0.005343215
PT089_P3_F10_S358,115,PT089,P3,Epithelial,Epithelial,5,BL1,0.04294765,0.046149483,0.001207129,-0.070577116,-0.032760791,0.032771492
PT089_P3_F11_S359,116,PT089,P3,Epithelial,Epithelial,5,BL1,0.101866075,0.063874538,-0.055631169,-0.112332976,-0.067360219,0.013887931
PT089_P3_F12_S360,117,PT089,P3,Epithelial,Epithelial,5,BL2,0.095621968,0.005158335,0.010053805,-0.079556967,0.018576286,0.012580511
PT089_P3_G01_S361,118,PT089,P3,Epithelial,Epithelial,4,BL1,0.075812169,0.060752018,-0.070520142,-0.06914442,-0.000863602,0.041557564
PT089_P3_G02_S362,119,PT089,P3,Epithelial,Epithelial,5,BL1,0.110186245,0.024217327,-0.03911084,-0.120285884,-0.068668677,0.004746372
PT089_P3_G03_S363,120,PT089,P3,Epithelial,Epithelial,5,BL1,0.061844451,0.029082436,-0.060888071,-0.022246975,-0.063469053,-0.026617887
PT089_P3_G04_S364,121,PT089,P3,Epithelial,Epithelial,5,LAR,0.102387041,-0.001968508,-0.038340689,-0.074705715,-0.081621614,0.032679177
PT089_P3_G05_S365,122,PT089,P3,Epithelial,Epithelial,4,BL1,-0.01439117,0.040480145,0.012561768,-0.005171851,-0.131819515,0.023030903
PT089_P3_G06_S366,123,PT089,P3,Epithelial,Epithelial,5,BL1,0.111380427,0.03858737,0.006538081,-0.124481337,-0.101255769,0.012899922
PT089_P3_G07_S367,124,PT089,P3,Epithelial,Epithelial,4,BL1,0.070070729,0.060911795,-0.002950241,-0.022019621,-0.121395668,-0.004216434
PT089_P3_G08_S368,125,PT089,P3,Epithelial,Epithelial,4,M,-0.009942918,-0.004660789,-0.026684867,0.066671954,-0.080153321,-0.008998593
PT089_P3_G09_S369,126,PT089,P3,Epithelial,Epithelial,5,BL1,-0.01313186,0.043948407,-0.068594052,0.006402112,-0.035758935,-0.001314184
PT089_P3_G10_S370,127,PT089,P3,Epithelial,Epithelial,5,BL1,0.118158617,0.041890126,-0.032342673,-0.138583712,-0.050269826,-0.014836153
PT089_P3_G11_S371,128,PT089,P3,Epithelial,Epithelial,5,BL1,0.049100523,0.030575394,-0.003708329,-0.050890928,-0.048783271,0.022887234
PT089_P3_G12_S372,129,PT089,P3,Epithelial,Epithelial,5,LAR,0.114265201,0.02453284,-0.043318061,-0.164711619,-0.017140707,0.056981968
PT089_P3_H01_S373,130,PT089,P3,Epithelial,Epithelial,5,LAR,0.071228954,-0.007174834,-0.040717253,-0.085244591,-0.091501023,0.033155457
PT089_P3_H02_S374,131,PT089,P3,Epithelial,Epithelial,5,LAR,0.051848679,0.022908868,-0.025836278,-0.048255822,-0.068860456,0.060928243
PT089_P3_H03_S375,132,PT089,P3,Epithelial,Epithelial,4,LAR,0.078609083,0.023673536,-0.069113187,-0.067722408,-0.037985129,0.037526505
PT089_P3_H04_S376,133,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_H05_S377,134,PT089,P3,Epithelial,Epithelial,5,BL1,0.0310791,0.062211102,-0.039094802,-0.028714637,-0.030173173,-0.009558214
PT089_P3_H06_S378,135,PT089,P3,Epithelial,Epithelial,4,BL1,0.035332376,0.108878902,-0.005496135,0.006856044,-0.036235397,-0.053977613
PT089_P3_H07_S379,136,PT089,P3,Epithelial,Epithelial,4,BL1,0.127268141,0.049648621,-0.007746222,-0.061925582,-0.064595118,0.032034124
PT089_P3_H08_S380,137,PT089,P3,Epithelial,Epithelial,5,BL1,0.073329715,0.063362775,-0.032332759,-0.0710372,-0.071980938,0.020645845
PT089_P3_H09_S381,138,PT089,P3,Epithelial,Epithelial,4,LAR,0.097948963,-0.026298551,-0.020636657,-0.134503282,-0.054088027,0.041649022
PT089_P3_H10_S382,139,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_H11_S383,140,PT089,P3,Epithelial,Epithelial,5,BL1,0.093332574,0.083317168,-0.046150293,-0.117050973,-0.081340603,0.029700465
PT089_P3_H12_S384,141,PT089,P3,Epithelial,Epithelial,5,LAR,0.062581775,-0.010129837,-0.018563345,-0.073850462,-0.049302105,0.050293542
PT089_P7_A01_S1,142,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_A02_S2,143,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_A03_S3,144,PT089,P7,Epithelial,Epithelial,10,BL1,0.082496898,0.194525255,-0.164314191,-0.044417901,0.012714174,-0.048175991
PT089_P7_A04_S4,145,PT089,P7,Epithelial,Epithelial,7,LAR,0.022692907,-0.021725946,-0.110935856,-0.107996652,0.110143753,0.210694589
PT089_P7_A05_S5,146,PT089,P7,Stroma,Other,16,NA,NA,NA,NA,NA,NA,NA
PT089_P7_A06_S6,147,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_A07_S7,148,PT089,P7,Epithelial,Epithelial,7,BL2,-0.080751651,-0.09829565,-0.07151969,0.025797624,0.203158418,0.135831562
PT089_P7_A08_S8,149,PT089,P7,Epithelial,Epithelial,7,LAR,-0.009054018,-0.068225745,-0.06152774,-0.110447521,0.105848747,0.164982327
PT089_P7_A09_S9,150,PT089,P7,Epithelial,Epithelial,7,LAR,-0.008461941,0.0023064,-0.042762203,-0.022014665,-0.066857189,0.135669204
PT089_P7_A10_S10,151,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_A11_S11,152,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_A12_S12,153,PT089,P7,Epithelial,Epithelial,7,LAR,0.025602445,-0.015550318,-0.15200729,-0.08942022,0.037157831,0.1240786
PT089_P7_B01_S13,154,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B02_S14,155,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B03_S15,156,PT089,P7,Epithelial,Epithelial,7,LAR,-0.079714625,-0.07448958,-0.042345197,-0.079901437,0.094484243,0.218071249
PT089_P7_B04_S16,157,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B05_S17,158,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B06_S18,159,PT089,P7,Epithelial,Epithelial,7,LAR,-0.048478138,-0.103548238,-0.137445873,-0.11904096,0.062864253,0.3082666
PT089_P7_B07_S19,160,PT089,P7,Epithelial,Epithelial,7,LAR,-0.048757041,-0.085413265,-0.052489815,-0.080876278,-0.041435629,0.164144089
PT089_P7_B08_S20,161,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B09_S21,162,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B10_S22,163,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_B11_S23,164,PT089,P7,Epithelial,Epithelial,7,LAR,-0.096738709,-0.106009589,-0.096294969,-0.022196345,0.057599985,0.24156711
PT089_P7_B12_S24,165,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C01_S25,166,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C02_S26,167,PT089,P7,Epithelial,Epithelial,7,LAR,-0.052202854,-0.066819012,-0.030915241,-0.054114789,-0.006938724,0.154477989
PT089_P7_C03_S27,168,PT089,P7,Epithelial,Epithelial,10,BL1,0.058808595,0.12143807,-0.087791582,-0.044961967,0.01558866,-0.035068025
PT089_P7_C04_S28,169,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C05_S29,170,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C06_S30,171,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C07_S31,172,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C08_S32,173,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C09_S33,174,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C10_S34,175,PT089,P7,Epithelial,Epithelial,1,BL1,-0.054320991,0.086236876,-0.0261119,0.07692802,-0.057464374,-0.062711604
PT089_P7_C11_S35,176,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_C12_S36,177,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_D01_S37,178,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_D02_S38,179,PT089,P7,Epithelial,Epithelial,10,BL1,-0.030397218,0.182107361,-0.129854544,-0.002747386,-0.194717868,-0.038068625
PT089_P7_D03_S39,180,PT089,P7,Epithelial,Epithelial,7,LAR,-0.036504919,-0.03873125,-0.035058924,-0.048515844,0.180718532,0.192679896
PT089_P7_D04_S40,181,PT089,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P7_D05_S41,182,PT089,P7,Epithelial,Epithelial,7,LAR,-0.073084303,-0.016005758,-0.108339156,0.002223788,0.075207127,0.118523916
PT089_P7_D06_S42,183,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_D07_S43,184,PT089,P7,Epithelial,Epithelial,7,LAR,-0.001213296,-0.017362169,-0.033566473,-0.055883154,-0.057593168,0.099070619
PT089_P7_D08_S44,185,PT089,P7,Epithelial,Epithelial,10,BL1,0.016143849,0.179190825,-0.076526157,0.011691285,-0.126562307,-0.048823096
PT089_P7_D09_S45,186,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_D10_S46,187,PT089,P7,Epithelial,Epithelial,10,BL1,-0.072400496,0.184050951,-0.152033351,0.040167657,-0.030907132,-0.021603443
PT089_P7_D11_S47,188,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_D12_S48,189,PT089,P7,Epithelial,Epithelial,1,LAR,-0.0119324,-0.028559111,0.137792097,-0.052549714,0.018073829,0.024793042
PT089_P7_E01_S49,190,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_E02_S50,191,PT089,P7,Epithelial,Epithelial,10,BL1,0.054359752,0.189194951,-0.073081865,-0.048708074,-0.158015622,-0.035480942
PT089_P7_E03_S51,192,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_E04_S52,193,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_E05_S53,194,PT089,P7,Epithelial,Epithelial,7,LAR,-0.022224394,-0.072262419,-0.063553625,-0.103081054,0.093609829,0.241196866
PT089_P7_E06_S54,195,PT089,P7,Epithelial,Epithelial,10,BL1,0.071268176,0.211391725,-0.11310661,-0.080596108,-0.160648272,-0.094552939
PT089_P7_E07_S55,196,PT089,P7,Epithelial,Epithelial,7,LAR,0.010401601,-0.090278503,-0.014107455,-0.054359163,0.043174567,0.117085578
PT089_P7_E08_S56,197,PT089,P7,Epithelial,Epithelial,4,LAR,0.000472766,0.026116251,0.015927896,-0.024247538,-0.049658002,0.035718988
PT089_P7_E09_S57,198,PT089,P7,Stroma,Other,16,NA,NA,NA,NA,NA,NA,NA
PT089_P7_E10_S58,199,PT089,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P7_E11_S59,200,PT089,P7,Epithelial,Epithelial,1,LAR,0.00931088,0.032587883,-0.041468183,-0.067275752,-0.019180383,0.059775346
PT089_P7_E12_S60,201,PT089,P7,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT089_P7_F01_S61,202,PT089,P7,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT089_P7_F02_S62,203,PT089,P7,Epithelial,Epithelial,7,LAR,-0.045293953,-0.076107839,-0.081528117,-0.052166748,0.111244616,0.268587417
PT089_P7_F03_S63,204,PT089,P7,Epithelial,Epithelial,7,LAR,-0.087493539,-0.159643003,-0.108419744,-0.053652499,0.247057688,0.304810006
