Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
MRPS31_10240.,-2.740902062,0.663629453,-0.41671344,0.174596785
HIST1H3J_8356.,-2.738964407,0.167922607,1.428103604,0.061226833
OR2A12_346525.,2.738209316,-1.000925438,-0.437895907,-0.879820173
PCYT2_5833.,-2.736588851,2.552580135,-0.369224413,0.403531778
GRAMD1A_57655.,2.72878184,-0.678700436,0.247715941,-0.269701368
TLN2_83660.,-2.724799882,1.458262885,2.486204503,-2.6504103
LY6G5B_58496.,-2.72170168,1.259873017,0.238981662,1.304942868
GPN1_11321.,-2.717975924,0.541059546,-0.419101077,1.664174687
ATPAF1_64756.,-2.716897468,1.727693082,0.218664455,0.383806772
GCHFR_2644.,-2.70955698,3.203147074,2.716444306,-1.475272536
ZNF337_26152.,-2.707398522,-0.160387137,0.619885882,1.280222805
ALG6_29929.,-2.707243105,0.604535572,-0.416323621,2.046502038
SESTD1_91404.,-2.703940594,2.027546718,1.355405465,-0.90919208
ORAI3_93129.,-2.701182038,1.536084418,-1.154548988,1.422398663
ZNF781_163115.,2.69956227,-0.240358891,-0.25631118,0.252788649
HLA.E_3133.,-2.697453648,1.273977654,0.020524492,0.739893159
ICAM4_3386.,-2.696588506,2.084453887,0.708660608,-0.001653284
KRCC1_51315.,-2.696084965,0.577029866,0.302419536,0.691248569
REM1_28954.,-2.694138552,0.366906455,1.087057719,-0.375718445
SLC7A6_9057.,2.693972206,-0.098913564,0.083650387,-0.439295154
MRI1_84245.,-2.693430694,1.351975671,1.504067616,-0.296928786
AP5B1_91056.,-2.69329651,0.714906918,0.558527121,0.957643067
DDX58_23586.,-2.690021012,0.867772592,1.035079249,-0.414370487
HSPA1A_3303.,-2.689983931,0.987021186,0.771486368,0.40613413
COPZ1_22818.,2.68616934,-1.618763804,-0.55358053,1.203564871
UBE3D_90025.,-2.685968388,1.623119016,0.512586696,0.325638805
IGFALS_3483.,2.679545861,0.041567987,-0.665076732,-0.456412703
PRUNE_58497.,-2.669955528,0.186183147,0.337271842,0.629315134
KIAA0368_23392.,-2.667191819,-0.085789915,1.061933514,-0.04709292
EIF1B_10289.,-2.664907587,0.598260962,2.23956154,-0.917235516
OR6C70_390327.,2.664666943,-2.3258812,-1.120617088,0.056932176
LIX1L_128077.,-2.661144219,0.295046827,0.198582427,0.829041587
SLC12A6_9990.,-2.657362573,0.849610522,1.227406586,-0.442048556
DNAJC4_3338.,-2.654382889,1.500328115,-0.552615919,2.045147594
TMEM126A_84233.,-2.652269915,1.12498936,1.669353742,0.078592234
TTL_150465.,-2.650726868,0.129587228,-0.08750637,0.429002455
RND3_390.,-2.649750199,0.735903592,2.528992164,-1.53066938
ICAM1_3383.,-2.645901713,1.285296166,1.34037372,0.918473365
TRAPPC4_51399.,-2.640639093,-0.084892346,-0.079654447,1.902167591
IL10RA_3587.,-2.639859111,0.530684983,0.759940324,0.886176714
TMEM203_94107.,-2.638664925,0.549363295,0.084257112,1.316071475
PNLIPRP3_119548.,-2.638305669,2.134555136,-0.54372403,-0.027747557
FAP_2191.,-2.636609243,0.195518171,1.401752675,-0.324676488
MSMB_4477.,-2.634485492,0.693745847,-0.403722923,1.454077567
SRSF6_6431.,-2.634091049,0.770852925,1.301169579,-1.257752805
TMEM14B_81853.,-2.633932112,1.318030351,0.909303651,0.81032992
UROD_7389.,-2.631962352,1.166505447,0.875217537,-0.706909962
FICD_11153.,2.630799052,-2.51620742,-0.209113031,-0.348055977
TAP1_6890.,-2.625246419,1.156333594,0.185215896,0.618713523
FIP1L1_81608.,2.61834329,-0.685674262,0.034494979,-1.571982667
SEPP1_6414.,2.61791227,-0.949117625,0.537440203,-0.762648751
NOTCH4_4855.,-2.616848551,1.777357409,1.67297325,0.392129886
DHRS4_10901.,-2.615900923,0.257720228,-0.004838006,0.461265807
WDR76_79968.,-2.615215772,0.638751747,0.980406916,-0.600232829
RNF148_378925.,2.613617738,-2.175960904,-0.25782548,0.322584322
ENPP1_5167.,-2.608940365,2.609005126,1.41457706,-0.869403719
SLC2A12_154091.,-2.607769861,0.302860719,0.113562971,0.458403225
KRT15_3866.,2.606602849,-2.700376022,0.067989407,0.082102411
NOP2_4839.,2.605868907,-0.071967882,-1.09739033,-0.009837198
C16orf93_90835.,-2.605723388,1.320030036,-0.743163762,1.656385892
MRPS18B_28973.,-2.605554025,2.000971902,-0.019270033,-0.246964827
KRTCAP2_200185.,-2.604190935,0.359255581,-0.340021947,0.328785624
TCP11L2_255394.,2.604082593,-1.07249815,0.301232553,-0.44135522
XPO4_64328.,-2.598857057,0.969343152,0.674272312,0.058920265
MSH5_4439.,-2.597216871,0.793166488,0.35668756,1.390349982
EN1_2019.,-2.597197306,-0.180650806,1.239462115,-0.329870898
DLGAP5_9787.,-2.595640185,1.427089763,-0.457393124,1.451587136
SFMBT1_51460.,-2.59259455,1.106074431,-0.198481803,0.251433007
GMNN_51053.,-2.592524491,0.428165396,1.17213127,0.636341831
KIF13A_63971.,-2.592143083,0.608144519,0.131163092,0.878569593
HIST1H2BO_8348.,-2.587091146,1.615418698,1.391433943,-0.446936446
SOX9_6662.,-2.585896467,0.68596605,0.623105409,0.894835272
CTBP1_1487.,2.583414553,-0.743369456,-1.470811509,0.481734759
ELOVL2_54898.,-2.576510233,0.229816321,0.69792267,0.569668102
PPP1R11_6992.,-2.572397131,-0.383064001,0.533536787,0.563529249
FOXD2_2306.,-2.570325742,0.634513219,0.321139704,-0.520041175
PTP4A1_7803.,-2.567850464,0.545362137,0.980442743,0.378431381
MTX2_10651.,-2.566869265,0.436092487,0.287946349,1.099746748
IFNA17_3451.,-2.565265432,2.121365185,1.854283463,-1.181458318
C4A_720.,-2.563370714,1.589177726,0.112982697,0.709915399
ARL6_84100.,-2.562590328,-0.236213426,1.381931518,0.562780803
DXO_1797.,-2.562131204,0.278269079,-0.054359821,1.291837736
CHAC1_79094.,-2.56028482,1.492321619,1.126666416,-1.269634544
ATP5I_521.,-2.560166866,2.319950033,-0.028630291,-0.317661427
NAMPT_10135.,2.558986412,0.018241766,1.930976414,-3.520823109
ATP5C1_509.,-2.558405407,0.997465798,0.069971371,-0.552482814
PRPF6_24148.,-2.554811163,0.050007423,0.71760505,0.716402796
AKR1D1_6718.,2.55412212,-2.825778182,-0.112692589,-0.46322766
ETHE1_23474.,-2.552672904,1.676894795,0.525828476,0.050656083
E2F8_79733.,-2.550684202,1.710178283,1.16041177,-0.091751005
USP25_29761.,-2.548252886,0.674655498,-0.391386731,0.871699747
HIST1H1B_3009.,-2.54694462,0.554799678,0.885798545,-0.086134062
ZDHHC13_54503.,-2.541268782,1.267280505,1.122175464,-0.202838696
SLC10A7_84068.,-2.539959142,0.575259445,0.800271736,0.677206455
KLHL41_10324.,-2.539956645,1.771901184,0.440856296,-0.233042729
MAP1LC3B2_643246.,2.539214038,-0.860861406,0.229413442,-0.745549284
TSHB_7252.,2.5389688,-1.895132443,-0.641089554,0.092654389
UGGT1_56886.,-2.538603257,1.33786968,0.767518841,-0.056352059
PPBP_5473.,2.538598224,-1.09846737,0.483939307,-0.976055053
TAS2R4_50832.,2.53826336,-1.684992346,-0.116911481,-0.831695002
SLC26A3_1811.,2.536176696,-0.922007746,-0.750941403,0.807565694
MADCAM1_8174.,-2.532004055,0.589028792,0.661593289,-0.257387559
PHTF1_10745.,-2.529649498,1.54860894,-0.16005623,0.583803478
SH3BGRL2_83699.,-2.526298887,0.281903581,0.417429595,1.403905699
PCDHGB1_56104.,-2.524193376,1.638034695,0.454576376,-0.015402284
SOWAHC_65124.,-2.519146652,1.271635988,1.92647482,-1.083837409
GTPBP1_9567.,2.517424219,-1.212128623,-0.628089753,-0.029916587
PCDHAC1_56135.,-2.516748367,0.534340688,-0.347968704,0.70654555
DPEP2_64174.,2.514203948,-1.059082902,-0.345209168,-1.065554087
PIK3R2_5296.,-2.512605684,0.405875671,-0.19831274,1.305268658
SUPV3L1_6832.,-2.510964219,1.819513531,0.129108603,-0.460859058
FGF2_2247.,-2.509864263,0.379786297,-0.503009882,1.433218503
KCNB1_3745.,-2.509849971,0.881740282,0.388398392,0.978234452
TMEM247_388946.,2.509476919,0.285432754,-0.909435943,-0.947672066
GTPBP2_54676.,-2.508875219,1.095331447,-0.451237187,0.961607585
RAB22A_57403.,-2.504247025,1.137650125,0.115554606,-0.016954409
MFSD3_113655.,-2.501812697,1.969793641,1.788234952,-2.023348371
ELMOD3_84173.,-2.499865674,1.140682009,-0.18142344,0.40850917
ARHGDIG_398.,2.499246492,-0.310764945,-0.697322369,-1.241079615
LHX2_9355.,-2.498859453,1.078761591,0.377845541,0.63839513
FAM86B1_85002.,-2.497606799,0.526100568,0.270821062,-0.23561612
TRIM43_129868.,-2.495805992,1.226751137,0.042953431,0.911696001
H1FX_8971.,-2.49493459,1.672552892,0.624651484,0.37368363
MED7_9443.,2.493752451,-1.193470585,0.690288471,-0.425657327
GGCX_2677.,-2.4912034,1.980280235,0.522397604,0.192786635
SPIDR_23514.,2.488100295,-1.833042813,-0.043350619,-0.770637487
CCDC135_84229.,2.483444184,-0.368247683,-0.525493487,0.462569808
FBXL7_23194.,2.478460628,-3.092746145,-1.318738474,0.274607321
MLKL_197259.,2.47716075,-1.578025345,-1.331717567,-0.124268895
IRX2_153572.,2.474550039,-0.091254948,-0.661834773,-0.17903403
PI4KB_5298.,2.471161492,-0.637725712,-0.651830838,-1.557663604
TMEM69_51249.,-2.470036677,-0.571478059,0.287201051,0.447427684
CNDP2_55748.,-2.464166445,1.480065166,1.178302925,-0.512062012
SYCP2L_221711.,-2.462112438,0.498148522,0.598691662,1.095604106
DALRD3_55152.,-2.460392574,0.607062863,-0.940993458,1.514732977
TP53INP2_58476.,-2.459755377,0.290181017,0.884219372,0.001942008
CDCA2_157313.,-2.459317832,0.944287196,2.835211348,-0.896609776
LMAN2L_81562.,-2.459173627,0.666183902,-0.87739735,1.646041231
POTEJ_653781.,-2.457874702,0.369550979,0.090557344,0.104594633
SOCS6_9306.,-2.455928588,2.016989976,0.648734359,-0.038730829
PARD3B_117583.,-2.454765015,0.185175562,1.84326891,-0.531898392
CA1_759.,-2.454158033,0.036212153,1.954430903,-0.39348687
WDR89_112840.,2.45399462,-1.766686775,0.107618554,-1.683447094
OR10V1_390201.,-2.452619202,0.615672069,0.445738186,0.26669908
RASGEF1B_153020.,2.445111417,-2.10471256,0.950011793,-0.855329484
ZNF319_57567.,2.444189335,-0.672388501,-0.518489873,-0.803269152
MVP_9961.,2.444062389,-1.663654907,-1.015690363,0.814490229
RBM12_10137.,2.443997401,-2.259374313,0.169458342,-0.442143202
B3GALT4_8705.,-2.443943564,1.999355186,-0.380989817,2.122785262
SSR2_6746.,-2.443922918,0.538835853,0.126770677,0.46376514
SNX32_254122.,-2.442915853,1.036441344,0.408464879,-0.170819165
TMEM99_147184.,-2.441295736,1.533929497,0.687259469,-0.33132019
B4GALT5_9334.,-2.439767993,0.914887731,-0.091598126,0.239613925
VEGFA_7422.,-2.439553652,0.920852043,1.344572972,0.083033739
CEP152_22995.,2.439120963,-1.306788796,-0.967074929,0.445937924
