Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
FAM20B,-2.915560228,2.49377615,-1.540824362,1.675256592
LACTB,2.918492607,-1.220446226,2.228310695,-3.53121931
PVR,-2.90617875,1.914847651,0.069345127,1.452596193
CDKL1,2.905861064,-3.674056255,-0.291043779,-1.945083557
MAPK8IP2,2.904329312,-2.064607476,0.994147703,-3.600968785
CREB3L2,2.904141238,-1.196364634,0.622162465,-1.318445045
OR2M5,3.225480848,-1.18879622,0.689038966,0.233425718
ACADM,2.903177037,-1.818000714,-0.210736005,-1.284989228
MASP1,2.900403767,-1.793345767,-0.091836242,-0.782689534
OR2L1P,-2.900199944,1.276515203,0.451697804,2.116085135
TCP11L1,-2.90529128,3.189136798,-2.221059533,1.25388342
SLC16A6,-3.060644192,-0.708098759,-0.429307159,2.08059412
OTOF,2.903983263,-1.768515224,2.081319155,-2.232282279
DGAT2,-2.903673247,1.976874971,-1.568441345,2.142643877
RFX5,2.895305909,-2.609831007,0.252973019,-1.272341232
ITGB1,2.894528292,-3.058288421,0.244232153,-1.730710121
GTF3C1,2.8925818,-2.407552353,0.919561578,-1.358265513
WDR83,-2.891332854,1.202123562,-0.029442451,1.051901515
RHOBTB1,-2.888744646,2.842410428,-2.220020842,1.097376534
KCTD18,2.886416639,-2.338365754,2.111647232,-1.942333737
GRM7,-2.876131978,3.305167096,-0.734032091,1.591505291
PSMB8,-2.875946831,0.728787249,-1.502821063,0.763399654
EOMES,-2.875514642,3.569005159,-0.681318602,0.422260186
RAB1A,2.873599048,-1.566163904,-0.574808462,-1.838694002
ANKMY1,-2.879356462,2.887410187,1.357345585,-0.009035596
PRSS41,-2.879284143,1.566198999,-0.640703555,0.996571944
KRTAP4-5,3.748610228,-0.292508883,-0.395011842,-0.941422683
BCR,-2.871535817,3.563060447,0.155691884,0.926714808
AGAP11,-2.871151525,1.465905394,-0.392300328,0.689754179
DEK,2.867440954,-1.541116058,0.245120653,-1.049952541
PDLIM1,3.738616517,-0.668173291,-0.074263955,-0.716507484
ZNF625-ZNF20,2.862219778,-1.530893226,0.806885636,-2.122987704
DNAJA2,-2.868069213,3.900651901,0.173505148,2.044014621
AATF,2.858486943,-2.039110321,0.094802664,-1.053242256
LDOC1,-2.863421253,0.652240955,-1.938461091,2.263105967
RCOR1,2.8539963,-1.236130605,2.03747473,-2.462149793
PPP1R14A,-2.8584919,1.458191484,-0.318689991,1.663777991
LOC100996335&LINC01663&FAM230B,3.708877909,-4.478449403,0.066031101,-1.661585026
GPSM3,-2.850491846,4.210351048,-0.004568375,1.04305517
TAOK3,2.844166583,-2.437596507,-1.449494838,-1.533893573
PARD6G-AS1,-3.693269697,1.727947422,-0.28658038,1.781876708
TM9SF2,2.840276043,-2.672669426,0.629108624,-1.640262157
ZNF776,-2.845720665,1.983921161,0.1908663,0.500941303
KRT77,-2.842632678,4.372976329,-1.526075821,1.581228724
DSE,2.8417052,-1.829404063,1.45409692,-2.820231268
SPATS1,-2.841296013,2.493079863,-1.407400655,2.677472838
PLAU,-2.834027754,2.274596913,0.057640694,0.363396747
COMMD10,3.671764364,-0.489316928,0.278065443,-1.158688339
ARHGEF6,-2.829609715,3.320751469,0.795539589,0.595796074
POU5F1P3,3.175555154,-0.231613023,0.617237227,-0.699996918
SLC35C1,2.835327884,-2.657049414,0.390455603,-1.547175356
CCDC66,-2.833871556,1.593086087,-1.422073212,1.934669976
IL18,-2.830979771,2.788835507,-0.5786574,2.019089576
TNFRSF18,-2.822377585,3.512183833,-0.26394653,1.598003
ATOX1,-2.820802266,1.487296534,0.45255392,1.479069497
MPZL1,-2.815557809,3.443988267,-0.260692191,1.780552671
DCLRE1C,2.814850048,-1.479391336,0.498343175,-0.875755067
